Time_neighbor_one_step_arrow,Time_neighbor_two_step_arrow
5.0,6.75
2.25,3.0
4.25,5.25
3.75,4.0
4.5,2.0
5.0,8.5
4.75,7.25
4.5,4.0
2.75,3.75
4.0,6.75
4.5,7.5
5.0,10.0
4.25,7.75
5.0,9.5
4.75,6.75
4.75,6.25
5.0,7.75
5.0,9.25
4.75,8.0
4.75,6.25
4.25,8.25
5.0,8.25
5.0,10.0
4.75,6.25
4.75,4.75
4.75,9.25
5.0,10.0
4.25,4.75
5.0,8.5
4.0,5.75
4.0,4.75
5.0,5.75
5.0,5.25
5.0,6.25
4.75,10.0
5.0,9.75
5.0,10.0
4.75,7.75
4.75,9.0
4.5,6.5
4.25,4.0
4.0,7.0
4.0,7.0
5.0,8.75
5.0,7.25
4.75,7.75
4.5,7.0
4.0,6.0
4.75,6.5
5.0,9.25
5.0,8.75
4.5,6.75
3.5,8.0
5.0,6.25
4.25,7.75
4.5,8.5
4.0,7.0
5.0,6.75
5.0,7.25
5.0,8.5
5.0,6.25
4.5,8.5
