Time_neighbor_one_step_tapered,Time_neighbor_two_step_tapered
4.5,3.75
1.75,2.25
3.25,3.25
2.5,2.5
1.25,0.75
4.75,6.5
3.5,6.0
3.75,3.0
3.5,3.25
4.5,4.5
4.5,7.0
5.0,8.75
3.75,6.0
5.0,8.0
4.5,8.5
4.0,5.75
5.0,6.0
5.0,9.5
4.0,4.25
4.5,7.25
4.5,5.75
4.75,8.75
5.0,10.0
5.0,8.75
4.5,6.25
4.75,5.75
4.25,8.5
4.5,4.5
5.0,8.75
4.0,5.25
4.0,6.25
4.75,4.5
4.75,4.25
4.5,5.75
4.75,7.0
5.0,10.0
5.0,10.0
4.75,8.25
5.0,7.0
5.0,7.25
3.25,4.5
5.0,8.75
5.0,4.5
4.0,7.25
5.0,8.5
5.0,8.25
4.75,5.75
5.0,6.25
4.75,5.5
5.0,10.0
5.0,9.5
4.75,6.25
4.75,7.0
5.0,5.75
4.0,5.5
4.5,6.75
4.5,6.5
4.75,7.25
4.5,5.75
4.75,6.75
3.25,3.75
3.75,9.0
