Time_selectNodeWithHighestDegree2_MAT,,,,,,,,, :: Time_selectAllNeigbhorsOf1Node_MAT,,,,,,,,, :: Time_selectMoreInterconnectedCluster2Clusters_MAT,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
14,15,15,11,12,8,9,7,6,10 :: 25,19,25,19,22,17,25,12,25,12 :: 3,4,2,2,3,3,2,1,2,1
15,12,15,15,15,11,13,12,9,15 :: 25,25,19,25,19,16,25,25,12,12 :: 4,5,4,5,4,2,3,2,3,4
15,10,13,13,9,14,15,7,11,14 :: 13,24,20,24,23,20,25,23,23,22 :: 3,3,3,5,3,2,3,2,2,3
13,13,14,15,9,7,6,5,5,14 :: 16,25,20,25,25,22,19,21,14,14 :: 6,6,7,4,8,4,3,3,4,3
15,15,9,14,12,8,5,4,5,12 :: 14,25,24,25,20,15,21,20,9,12 :: 7,3,3,2,2,2,3,2,3,3
15,15,15,8,10,10,15,15,14,15 :: 25,25,25,25,25,25,25,25,25,25 :: 5,4,4,4,3,3,4,3,3,3
12,9,10,10,9,9,10,9,9,10 :: 18,25,17,25,22,20,24,15,17,17 :: 3,5,3,3,3,3,4,2,3,2
15,13,15,11,12,15,10,9,10,15 :: 15,15,25,25,25,25,25,25,25,25 :: 4,9,4,4,9,6,4,3,3,3
15,10,15,15,9,5,9,6,8,9 :: 16,25,18,25,23,23,25,22,20,13 :: 2,7,2,2,2,2,2,2,3,2
20,14,20,18,9,18,10,15,8,20 :: 30,30,22,25,30,23,30,30,19,28 :: 4,6,4,3,4,3,4,4,4,7
13,7,13,8,12,6,5,4,4,11 :: 11,17,11,21,19,18,18,11,8,9 :: 6,3,4,3,2,3,2,1,3,3
20,11,12,10,8,14,9,8,12,17 :: 19,20,13,28,22,18,24,20,14,15 :: 5,4,4,2,4,2,3,2,3,4
20,20,19,15,20,16,13,16,20,15 :: 30,30,20,30,30,30,30,30,30,25 :: 4,16,4,3,5,4,3,2,3,3
6,8,13,6,7,4,5,6,4,5 :: 9,21,14,22,19,20,13,7,9,10 :: 2,2,4,2,2,2,2,1,2,2
20,5,8,6,5,4,7,6,10,10 :: 19,26,14,25,30,11,22,17,14,10 :: 3,4,4,4,2,2,2,1,2,2
18,16,8,10,12,12,8,5,11,14 :: 30,26,20,29,27,18,30,30,15,9 :: 3,4,4,7,3,2,3,4,3,3
13,9,8,7,12,4,6,5,3,14 :: 19,30,16,23,22,16,30,18,12,12 :: 2,4,14,3,4,4,4,2,2,2
19,13,20,10,20,6,12,6,6,11 :: 23,30,27,30,30,25,30,30,23,17 :: 3,3,2,4,3,3,4,2,6,2
20,20,9,12,12,16,6,9,12,11 :: 30,30,18,24,30,20,30,17,14,12 :: 9,9,3,3,3,2,4,2,6,9
